version,model,accuracy,precision,recall,f1_score,roc_auc,average_precision,threshold_type,threshold
baseline,GradientBoosting,0.9895,0.9122807017543859,0.7647058823529411,0.832,0.9761105529168188,0.8665322243699349,,
baseline,XGBoost,0.9855,0.782608695652174,0.7941176470588235,0.7883211678832117,0.9810619900133967,0.8610104092989292,,
tuned,GradientBoosting_tuned,0.9885,0.8688524590163934,0.7794117647058824,0.8217054263565892,0.970717634880039,0.836640787467683,,
tuned,XGBoost_tuned,0.9855,0.7671232876712328,0.8235294117647058,0.7943262411347518,0.9768222506393862,0.8682512998759242,,
threshold_tuned,GradientBoosting_tuned,0.9885,0.8571428571428571,0.7941176470588235,0.8244274809160306,0.970717634880039,0.836640787467683,optimized,0.4000000000000001
