model,accuracy,precision,recall,f1_score,roc_auc,average_precision
GaussianNB,0.959,0.29411764705882354,0.14705882352941177,0.19607843137254902,0.8899951284861771,0.27908926002278983
BernoulliNB,0.8835,0.11627906976744186,0.36764705882352944,0.17667844522968199,0.7568125076117403,0.08987111705717114
