Threshold,Accuracy,Precision,Recall,F1-score
0.3,0.9635,0.4766,0.75,0.5829
0.4,0.9635,0.4766,0.75,0.5829
0.5,0.9635,0.4766,0.75,0.5829
0.6,0.968,0.5204,0.75,0.6145
0.7,0.9685,0.5258,0.75,0.6182
