Feature,Importance
torque_nm,0.33474152142044633
rotational_speed_rpm,0.29379915163711756
tool_wear_min,0.2567241170320505
temperature_difference_k,0.06600014550436908
air_temperature_k,0.02754988616806064
process_temperature_k,0.01053633322875674
type_L,0.008921984550908832
type_M,0.0017268604582902501
