Threshold,Accuracy,Precision,Recall / TPR,Specificity / TNR,FPR,F1-score,ROC-AUC,TP,FP,FN,TN
0.5,0.9825,0.8235,0.6176,0.9953,0.0047,0.7059,0.9734,42,9,26,1923
0.45,0.9835,0.8302,0.6471,0.9953,0.0047,0.7273,0.9734,44,9,24,1923
0.4,0.9835,0.807,0.6765,0.9943,0.0057,0.736,0.9734,46,11,22,1921
0.35,0.984,0.8,0.7059,0.9938,0.0062,0.75,0.9734,48,12,20,1920
0.3,0.982,0.75,0.7059,0.9917,0.0083,0.7273,0.9734,48,16,20,1916
0.25,0.9795,0.6957,0.7059,0.9891,0.0109,0.7007,0.9734,48,21,20,1911
0.2,0.9795,0.6849,0.7353,0.9881,0.0119,0.7092,0.9734,50,23,18,1909
0.15,0.977,0.6279,0.7941,0.9834,0.0166,0.7013,0.9734,54,32,14,1900
0.1,0.973,0.5729,0.8088,0.9788,0.0212,0.6707,0.9734,55,41,13,1891
